cell	metric	cgi	trend_change	days_available	days_modified	timestamp	timespan	year	month	day
PM_SA_POBLA_PEU_BLANC_070064701_022	avg_cell_ul_throughput	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
FUENTE_CARRETEROS_EB_140027201_021	pct_bcr	2,1407E+14	null	null	7	2026-02-27T00:00:00.000+00:00	1	2026	2	27
CIELO_EB_110015202_020	volte_traffic_er	2,1407E+14	null	null	2	2026-02-27T00:00:00.000+00:00	1	2026	2	27
BEDMAR_Y_GARCIEZ_230009401_033	pct_bcr	2,1407E+14	null	null	1	2026-02-27T00:00:00.000+00:00	1	2026	2	27
CAMBRE_DEPOSITO_150059501_031	pct_nsa_data_bcr	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
AVILES_BUENAVISTA_EB_330020501_013	pct_volte_dcr	2,1407E+14	null	null	13	2026-02-27T00:00:00.000+00:00	1	2026	2	27
ARROYO_MIEL_EB_290010501_011	pct_bcr_volte	2,1407E+14	null	null	2	2026-02-27T00:00:00.000+00:00	1	2026	2	27
FERROL_BELEICON_150170701_023	avg_cell_ul_throughput	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
CUMBRES_MAYORES_CT_210011301_013	pct_nsa_data_bcr	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ORENSE_ER_320000701_181_B3_SP	pct_bcr	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
EL_EJIDO_ROQUESOL_040016502_050	pct_bcr	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ORENSE_ER_320000701_181_B3_SP	pct_bcr	2,1407E+14	null	null	2	2026-02-27T00:00:00.000+00:00	1	2026	2	27
FERROL_BELEICON_150170701_023	avg_cell_ul_throughput	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
CUMBRES_MAYORES_CT_210011301_013	pct_nsa_data_bcr	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
EL_EJIDO_ROQUESOL_040016502_050	pct_bcr	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
FUENTE_CARRETEROS_EB_140027201_021	pct_nsa_data_bcr	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
EL_EJIDO_ROQUESOL_040016502_050	pct_nsa_data_bcr	2,1407E+14	null	null	4	2026-03-02T00:00:00.000+00:00	1	2026	3	2
FUENTE_CARRETEROS_EB_140027201_021	pct_bcr_volte	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
LORBE_VEIGUE_EB_150014201_032	pct_bcr_volte	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ACEBAL_EB_330013301_041	avg_cell_ul_throughput	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
CABO_ROIG_P_DEPOR_030053702_020	pct_bcr	2,1407E+14	null	null	2	2026-03-02T00:00:00.000+00:00	1	2026	3	2
GUARO_EB_290017301_023	volte_traffic_er	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
POLIGONO_S_CRISTOBAL_470004801_013	pct_bcr	2,1407E+14	null	null	1	2026-02-27T00:00:00.000+00:00	1	2026	2	27
ESCACENA_EB_210011101_031	avg_cell_dl_throughput	2,1407E+14	null	null	1	2026-02-27T00:00:00.000+00:00	1	2026	2	27
BLANCA_EB_300006201_033	volte_traffic_er	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
CASTRILLO_RIOPISUERGA_090059601_033	avg_cell_dl_throughput	2,1407E+14	null	null	2	2026-03-02T00:00:00.000+00:00	1	2026	3	2
POLIGONO_S_CRISTOBAL_470004801_013	pct_bcr_volte	2,1407E+14	null	null	9	2026-03-02T00:00:00.000+00:00	1	2026	3	2
CEREZO_400000901_043	pct_bcr_volte	2,1407E+14	null	null	4	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ARROYO_MIEL_EB_290010501_011	volte_traffic_er	2,1407E+14	null	null	1	2026-02-27T00:00:00.000+00:00	1	2026	2	27
ONTINYENT_GIL_460033302_021	volte_traffic_er	2,1407E+14	null	null	0	2026-02-27T00:00:00.000+00:00	1	2026	2	27
BLANCA_EB_300006201_033	pct_bcr	2,1407E+14	null	null	3	2026-02-27T00:00:00.000+00:00	1	2026	2	27
ACEBAL_EB_330013301_013	pct_nsa_data_bcr	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
BEDMAR_Y_GARCIEZ_230009401_033	volte_traffic_er	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
PEDRALBA_LIRIA_EB_460031701_031	volte_traffic_er	2,1407E+14	null	null	0	2026-03-02T00:00:00.000+00:00	1	2026	3	2
LA_CORTINA_330019901_010	pct_bcr_volte	2,1407E+14	null	null	1	2026-03-02T00:00:00.000+00:00	1	2026	3	2
ARROYO_MIEL_EB_290010501_011	pct_volte_dcr	2,1407E+14	null	null	2	2026-03-02T00:00:00.000+00:00	1	2026	3	2
