cell	metric	cgi	historical_days_available	insufficient_history	activity_criteria	modulator_kpi	value_modulator_kpi	insufficient_rops	num_rops_available	timestamp	timespan	year	month	day
A_PARQUE_LO_MORANT_030065601_183_B3_SP	avg_cell_ul_throughput	2,1407E+14	null	false	true	avg_cell_ul_throughput <= 800	26.318.423.318.921.200	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
A_PARQUE_LO_MORANT_030065601_183_B3_SP	pct_bcr	2,1407E+14	null	false	true	pct_bcr_volte >= 3	0.1302083333333286	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
A_PARQUE_LO_MORANT_030065601_183_B3_SP	pct_bcr_volte	2,1407E+14	null	false	true	pct_bcr_volte > 1	0.1302083333333286	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
A_PARQUE_LO_MORANT_030065601_183_B3_SP	pct_nsa_data_bcr	2,1407E+14	null	false	true	pct_nsa_data_bcr >= 5	0.024931438544006923	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
A_PARQUE_LO_MORANT_030065601_183_B3_SP	pct_volte_dcr	2,1407E+14	null	false	true	pct_bcr_volte > 1	0.1302083333333286	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
A_PARQUE_LO_MORANT_030065601_183_B3_SP	volte_traffic_er	2,1407E+14	null	false	true	volte_traffic_er <= 0.5	19.272.222.222.222.200	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
EL_ENCINAR_CT_370005601_033	avg_cell_dl_throughput	2,1407E+14	null	false	true	avg_cell_dl_throughput <= 3000	1.187.826.374.888.340	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
EL_ENCINAR_CT_370005601_033	avg_cell_ul_throughput	2,1407E+14	null	false	true	avg_cell_ul_throughput <= 800	13.046.002.215.258.000	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
EL_ENCINAR_CT_370005601_033	pct_bcr	2,1407E+14	null	false	true	lte_rrc_attempts >= 20000	5091	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
EL_ENCINAR_CT_370005601_033	pct_bcr_volte	2,1407E+14	null	false	true	lte_volte_calls >= 500	20	false	null	2026-02-27T00:00:00.000+00:00	1	2026	2	27
